ticker
SIRI
SOFI
PLUG
F
NOK
RIOT
MARA
CHPT
LCID
NIO
PLTR
AAL
CCL
WBD
PARA
VALE
SNAP
UBER
LYFT
RIVN
AFRM
UPST
HOOD
COIN
MSTR
SQ
PINS
ROKU
ZM
DKNG
PENN
BYND
SPCE
NKLA
RIDE
GOEV
FFIE
MULN
GME
AMC
BB
NOK
T
VZ
INTC
BAC
C
WFC
PFE
MRNA
BNTX
